Provinsi/Kabupaten/Kota/Indonesia,,
,Indeks Pembangunan Manusia (IPM) menurut Jenis Kelamin ,
,Laki-laki,Perempuan
Sukamara,75.16,69.86
Lamandau,77.66,72.18
Seruyan,75.63,68.04
Katingan,78.54,68.83
Pulang Pisau,76.58,70.79
Gunung Mas,77.74,72.36
Barito Timur,80,72.09
Murung Raya,77.25,66.07
Kota Palangka Raya,85.97,82.8
KALIMANTAN SELATAN,79.89,72.68
Tanah Laut,78.46,70.03
Kotabaru,77.58,66.77
Banjar,79.21,73.6
Barito Kuala,76.25,69.05
Tapin,79.17,68.43
Hulu Sungai Selatan,78.67,71.23
Hulu Sungai Tengah,75.89,73.44
Hulu Sungai Utara,76.66,71.19
Tabalong,81.53,71.67
Tanah Bumbu,79.92,69.57
Balangan,78.88,74.06
Kota Banjarmasin,83.97,80.18
Kota Banjar Baru,86.82,81.64
KALIMANTAN TIMUR,83.74,73.7
Paser,80.36,60.09
Kutai Barat,79.86,69.45
Kutai Kartanegara,81.75,67.37
Kutai Timur,81.16,64.47
Berau,82.13,73.23
Penajam Paser Utara,79.7,70.39
Mahakam Ulu,77.13,65.06
Kota Balikpapan,87.84,80.56
Kota Samarinda,87.64,79.88
Kota Bontang,86.76,77.64
KALIMANTAN UTARA,77.77,69.51
Malinau,79.75,67.61
Bulungan,79.6,69.78
Tana Tidung,76.54,62.67
Nunukan,74.17,64.17
Kota Tarakan,82.3,77.63
SULAWESI UTARA,79.15,76.13
Bolaang Mongondow,75.38,67.28
Minahasa,81.46,79.73
Kepulauan Sangihe,76.87,74.38
Kepulauan Talaud,74.55,73.44
Minahasa Selatan,79.63,72.22
Minahasa Utara,79.65,77.48
Bolaang Mongondow Utara,76.65,67.81
Siau Tagulandang Biaro,75.91,68.73
Minahasa Tenggara,77.4,72.25
Bolaang Mongondow Selatan,75.13,61.82
Bolaang Mongondow Timur,74.81,69.17
Kota Manado,84.05,82.37
Kota Bitung,79.85,76.37
Kota Tomohon,80.56,81.17
Kota Kotamobagu,80.02,77.32
SULAWESI TENGAH,76.17,70.95
Banggai Kepulauan,72.75,67.74
Banggai,77.35,70.98
Morowali,79.71,68.63
Poso,76.03,74.07
Donggala,73.2,65.56
Toli-Toli,74.9,68.11
Buol,75.53,68.62
Parigi Moutong,72.67,67.6
Tojo Una-Una,73.99,68.32
Sigi,74.66,70.72
Banggai Laut,74.54,69.4
Morowali Utara,74.11,72.05
Kota Palu,85.07,84.38
SULAWESI SELATAN,79.45,74.92
Kepulauan Selayar,77.24,72.21
Bulukumba,77.59,75.18
Bantaeng,73.94,70.77
Jeneponto,74.3,69.12
Takalar,77.04,68.61
Gowa,78.36,70.26
Sinjai,73.78,72.66
Maros,79.48,71.72
Pangkajene dan Kepulauan,78.88,72.84
Barru,78.02,75.05
Bone,74.9,70.71
Soppeng,74.97,73.48
Wajo,79.18,72.06
Sidenreng Rappang,79.18,74.23
Pinrang,77.71,75.35
Enrekang,77.06,76.13
Luwu,77.84,72.92
Tana Toraja,77.02,69.18
Luwu Utara,78.14,71.25
Luwu Timur,81.15,74.14
Toraja Utara,76.75,68.45
Kota Makasar,87.52,83.99
Kota Parepare,82.95,81.49
Kota Palopo,82.9,81.59
SULAWESI TENGGARA,78.18,71.84
Buton,77.19,63.81
Muna,77.18,68.51
Konawe,78.72,74.32
Kolaka,80.52,73.3
Konawe Selatan,76.36,67.98
Bombana,73.92,64
Wakatobi,77.21,69.27
Kolaka Utara,72.95,72.22
Buton Utara,75.23,69.79
Konawe Utara,77.72,68.07
Kolaka Timur,71.39,70.93
Konawe Kepulauan,74.39,64.69
Muna Barat,73.32,66.06
Buton Tengah,73.57,62.07
Buton Selatan,75.31,56.65
Kota Kendari,88.42,84.82
Kota Baubau,84.05,77.72
GORONTALO,74.93,66.81
Boalemo,72.51,60.73
Gorontalo,74.43,63.02
Pohuwato,72.5,67.16
Bone Bolango,75.51,67.95
Gorontalo Utara,72.74,60.71
Kota Gorontalo,83.14,73.79
SULAWESI BARAT,74.93,68.26
Majene,76.31,73.09
Polewali Mandar,74.1,68.93
Mamasa,70.63,69.54
Mamuju,75.47,68.83
Mamuju Utara / Pasangkayu,75.97,65.66
Mamuju Tengah,73.7,64.05
MALUKU,77.35,72.63
Maluku Tenggara Barat / Kepulauan Tanimbar,71.73,63.15
Maluku Tenggara,72.93,70.48
Maluku Tengah,76.65,75.81
Buru,77.84,71.54
Kepulauan Aru,73.82,66.32
Seram Bagian Barat,73.14,72.2
