Provinsi,SD/sederajat (2003),SD/sederajat (2004),SD/sederajat (2005),SD/sederajat (2006),SD/sederajat (2007),SD/sederajat (2008),SD/sederajat (2009),SD/sederajat (2010),SD/sederajat (2011),SD/sederajat (2012),SD/sederajat (2013),SD/sederajat (2014),SD/sederajat (2015),SD/sederajat (2016),SD/sederajat (2017),SD/sederajat (2018),SD/sederajat (2019),SD/sederajat (2020),SD/sederajat (2021),SD/sederajat (2022),SD/sederajat (2023),SD/sederajat (2024),SD/sederajat (2025),SMP/sederajat (2003),SMP/sederajat (2004),SMP/sederajat (2005),SMP/sederajat (2006),SMP/sederajat (2007),SMP/sederajat (2008),SMP/sederajat (2009),SMP/sederajat (2010),SMP/sederajat (2011),SMP/sederajat (2012),SMP/sederajat (2013),SMP/sederajat (2014),SMP/sederajat (2015),SMP/sederajat (2016),SMP/sederajat (2017),SMP/sederajat (2018),SMP/sederajat (2019),SMP/sederajat (2020),SMP/sederajat (2021),SMP/sederajat (2022),SMP/sederajat (2023),SMP/sederajat (2024),SMP/sederajat (2025),SM/sederajat (2003),SM/sederajat (2004),SM/sederajat (2005),SM/sederajat (2006),SM/sederajat (2007),SM/sederajat (2008),SM/sederajat (2009),SM/sederajat (2010),SM/sederajat (2011),SM/sederajat (2012),SM/sederajat (2013),SM/sederajat (2014),SM/sederajat (2015),SM/sederajat (2016),SM/sederajat (2017),SM/sederajat (2018),SM/sederajat (2019),SM/sederajat (2020),SM/sederajat (2021),SM/sederajat (2022),SM/sederajat (2023),SM/sederajat (2024),SM/sederajat (2025)
Maluku Utara,94.06,93.8,93.44,93.1,91.95,92.47,93.39,93.97,89.83,92.59,95.47,96.21,96.65,96.75,97.01,97.09,97.09,97.21,97.2,97.27,97.36,96.41,95.9,62.15,64.17,61.0,65.31,64.67,65.13,65.49,66.01,65.99,64.43,70.73,75.03,75.38,75.68,76.26,76.31,76.2,76.9,77.03,77.41,78.53,79.34,78.65,38.7,44.08,52.65,48.66,51.39,51.73,51.74,52.68,52.36,56.76,59.54,63.1,63.2,63.47,63.52,63.88,63.95,64.25,64.11,65.35,65.75,68.02,62.32
Nusa Tenggara Barat,92.48,92.42,92.99,94.5,94.2,94.2,94.75,95.16,92.61,93.61,96.71,97.62,97.8,97.9,98.13,98.86,98.87,98.78,98.81,98.83,98.76,98.57,97.62,57.19,61.7,67.53,69.62,70.79,71.44,71.32,71.73,76.56,77.44,80.21,82.29,82.83,83.17,83.57,83.88,83.92,84.98,85.28,86.05,84.03,83.55,82.54,33.45,38.63,41.25,43.58,48.26,48.38,48.51,49.35,53.41,53.81,58.0,64.11,64.97,65.19,65.67,65.77,66.04,66.81,67.09,67.61,68.04,71.09,70.43
Nusa Tenggara Timur,88.27,90.79,92.0,91.58,91.61,91.72,92.46,93.03,91.97,92.16,93.53,94.56,94.95,95.24,95.4,96.12,96.16,96.09,96.04,96.08,95.98,97.01,95.45,39.1,43.26,43.0,47.23,49.75,49.87,50.21,51.03,56.51,55.83,59.32,65.86,66.32,66.56,67.16,68.14,69.19,69.82,69.99,70.05,73.47,73.72,77.28,23.57,28.27,27.77,30.97,33.75,34.67,34.15,34.93,40.33,38.19,47.3,52.15,52.51,52.87,53.32,53.67,53.68,54.09,54.29,56.0,58.15,60.73,62.88
Papua,83.86,85.21,81.05,78.11,80.94,81.76,76.09,76.22,69.6,70.78,72.57,78.36,78.56,78.66,78.83,79.14,79.19,79.34,80.38,81.66,80.67,92.52,91.81,47.81,47.78,44.95,47.36,48.69,48.95,49.08,49.62,44.44,43.61,45.76,53.68,54.21,54.26,56.13,57.09,57.19,57.95,57.93,59.14,60.23,75.41,77.95,30.11,30.39,40.49,33.36,35.78,35.79,35.77,36.06,30.82,29.16,36.73,43.11,43.22,43.27,43.48,44.31,44.32,44.73,44.41,47.63,48.32,61.33,56.13
Papua Barat,87.32,87.62,87.93,88.16,90.67,90.76,91.25,92.29,87.77,88.84,89.71,92.76,92.9,93.06,93.58,93.66,93.76,93.88,94.09,94.31,94.52,95.15,94.0,51.79,52.72,53.65,53.94,48.76,48.98,49.03,50.1,56.68,57.9,60.9,68.18,68.29,68.58,68.92,69.11,69.92,70.51,70.52,71.38,74.7,72.1,72.24,30.66,31.89,33.11,35.31,43.16,43.74,43.55,44.75,48.33,44.98,53.8,62.29,62.4,62.62,62.74,63.11,63.15,63.62,63.51,63.66,65.92,61.18,57.63
Papua Barat Daya,87.53,87.83,88.14,88.44,88.74,89.05,89.35,89.66,89.96,90.26,90.57,90.87,91.17,91.48,91.78,92.08,92.39,92.69,93.0,93.3,93.6,95.39,94.21,54.68,55.61,56.54,57.47,58.4,59.33,60.26,61.19,62.11,63.04,63.97,64.9,65.83,66.76,67.69,68.62,69.55,70.48,71.41,72.34,73.27,72.31,75.13,31.74,32.97,34.19,35.42,36.64,37.87,39.1,40.32,41.55,42.77,44.0,45.23,46.45,47.68,48.9,50.13,51.35,52.58,53.81,55.03,56.26,68.52,58.71
Papua Pegunungan,68.17,68.47,68.78,69.08,69.38,69.69,69.99,70.3,70.6,70.9,71.21,71.51,71.81,72.12,72.42,72.72,73.03,73.33,73.64,73.94,74.24,75.4,74.85,35.71,36.64,37.57,38.5,39.43,40.36,41.29,42.22,43.14,44.07,45.0,45.93,46.86,47.79,48.72,49.65,50.58,51.51,52.44,53.37,54.3,58.83,56.16,12.9,14.13,15.35,16.58,17.8,19.03,20.26,21.48,22.71,23.93,25.16,26.39,27.61,28.84,30.06,31.29,32.51,33.74,34.97,36.19,37.42,45.6,39.87
Papua Selatan,80.96,81.26,81.57,81.87,82.17,82.48,82.78,83.09,83.39,83.69,84.0,84.3,84.6,84.91,85.21,85.51,85.82,86.12,86.43,86.73,87.03,85.86,87.64,37.27,38.2,39.13,40.06,40.99,41.92,42.85,43.78,44.7,45.63,46.56,47.49,48.42,49.35,50.28,51.21,52.14,53.07,54.0,54.93,55.86,52.03,57.72,18.51,19.74,20.96,22.19,23.41,24.64,25.87,27.09,28.32,29.54,30.77,32.0,33.22,34.45,35.67,36.9,38.12,39.35,40.58,41.8,43.03,44.79,45.48
Papua Tengah,65.87,66.17,66.48,66.78,67.08,67.39,67.69,68.0,68.3,68.6,68.91,69.21,69.51,69.82,70.12,70.42,70.73,71.03,71.34,71.64,71.94,69.03,72.55,33.88,34.81,35.74,36.67,37.6,38.53,39.46,40.39,41.31,42.24,43.17,44.1,45.03,45.96,46.89,47.82,48.75,49.68,50.61,51.54,52.47,57.49,54.33,8.62,9.85,11.07,12.3,13.52,14.75,15.98,17.2,18.43,19.65,20.88,22.11,23.33,24.56,25.78,27.01,28.23,29.46,30.69,31.91,33.14,36.84,35.59
Riau,94.13,94.64,94.95,94.72,94.8,95.04,95.52,96.24,91.63,92.62,95.33,96.42,96.63,96.74,97.08,97.26,97.32,97.73,97.85,97.8,98.13,98.45,97.54,67.19,69.65,72.5,72.93,70.0,70.66,70.57,71.36,66.26,70.18,74.23,77.67,78.22,78.53,78.87,79.12,79.94,80.48,80.52,80.43,80.76,81.14,81.4,47.25,47.73,50.51,49.43,51.54,51.84,51.78,52.24,53.31,53.06,58.74,62.31,62.6,62.76,63.02,63.47,63.55,64.01,64.0,63.87,64.81,68.04,65.22
Sulawesi Barat,89.31,89.61,89.92,91.67,92.17,92.75,92.77,93.94,89.18,91.29,93.52,94.97,95.29,95.41,95.51,95.83,95.86,95.8,95.68,95.81,95.92,96.82,95.99,55.04,55.97,56.9,55.19,53.39,53.24,53.35,54.24,62.76,61.75,62.0,68.37,68.92,69.1,69.4,69.43,69.36,69.98,70.03,70.34,72.39,71.77,75.49,33.92,35.15,36.37,32.35,33.28,34.21,33.41,34.03,48.41,44.54,52.22,56.65,56.78,57.08,57.46,57.58,57.64,58.05,59.77,60.24,61.17,62.1,60.89
Sulawesi Selatan,89.21,90.64,92.04,91.08,92.19,92.17,92.27,92.86,89.48,90.61,95.67,96.39,96.84,96.99,97.49,98.03,98.06,97.98,98.26,98.41,98.41,97.81,96.46,54.04,57.41,59.1,60.27,60.8,61.06,61.74,62.32,65.87,69.68,69.79,73.18,73.51,73.67,74.36,75.13,75.82,76.17,77.02,77.42,77.98,76.84,78.45,37.18,38.39,39.95,40.86,41.91,41.99,42.03,42.75,48.17,54.2,54.26,59.1,59.47,59.62,59.86,60.03,60.14,60.32,60.35,60.44,60.57,62.71,68.1
Sulawesi Tengah,90.85,91.44,92.1,92.87,92.04,92.82,92.98,93.54,90.08,90.79,90.27,91.77,92.35,92.48,92.75,92.82,93.17,93.24,93.33,93.25,93.31,94.84,94.67,54.68,59.45,60.89,62.97,59.36,59.73,60.22,60.83,62.99,62.36,63.72,70.62,71.1,71.25,72.25,73.2,73.82,74.42,74.99,75.63,76.8,77.55,78.28,33.25,36.33,35.45,39.51,39.27,39.93,39.52,40.23,48.5,52.25,58.38,63.13,63.32,63.61,63.8,64.25,64.66,65.02,65.44,65.72,66.18,65.62,68.68
Sulawesi Tenggara,91.19,90.18,92.64,92.26,93.64,94.24,94.71,95.06,88.55,92.54,95.15,95.97,96.15,96.27,96.62,97.51,97.53,97.7,98.15,98.27,98.48,97.33,95.89,63.39,64.02,66.04,72.42,65.89,66.41,66.45,67.14,64.22,68.84,69.68,74.77,75.43,75.54,76.49,76.64,76.95,77.64,77.86,77.77,76.54,77.12,74.78,36.59,40.17,44.04,47.28,47.32,47.98,47.9,48.54,51.32,50.67,55.5,61.91,62.23,62.63,62.71,62.87,62.92,63.41,63.7,64.11,64.0,66.66,63.31
Sulawesi Utara,89.18,88.26,90.64,90.4,90.75,91.17,91.9,92.25,85.88,87.78,91.61,93.42,93.97,94.12,94.46,94.93,94.97,95.13,95.39,95.44,95.68,95.87,96.0,68.33,67.87,65.86,66.03,66.25,66.58,66.69,67.07,60.94,62.39,64.55,72.32,73.02,73.15,73.87,74.18,74.3,74.82,74.94,76.11,76.56,77.27,75.05,44.42,50.71,50.02,48.78,50.45,50.45,50.46,50.7,50.15,51.15,57.26,61.69,62.23,62.5,62.81,62.83,62.98,63.43,63.33,63.3,63.86,65.47,61.26
Sumatera Barat,92.59,93.64,93.65,94.17,94.45,94.66,94.75,95.51,93.44,95.77,97.1,97.92,98.12,98.23,98.64,98.66,98.67,98.8,98.82,98.8,98.89,98.89,97.06,66.0,69.55,68.77,67.77,67.33,67.63,67.61,68.22,67.77,70.08,72.56,75.61,76.0,76.19,76.47,77.08,78.1,78.41,78.75,78.86,80.22,82.94,82.7,49.88,53.13,53.36,51.05,54.23,54.68,54.5,55.06,54.78,55.68,61.0,66.52,66.9,67.12,67.3,67.48,68.53,68.9,68.99,68.38,69.18,72.5,71.57
Sumatera Selatan,92.36,93.13,94.14,93.01,92.81,92.97,93.61,94.17,89.57,92.79,95.12,96.13,96.41,96.59,97.16,97.85,97.91,97.91,98.0,98.08,98.12,97.53,95.98,59.41,64.81,64.94,68.01,65.15,65.87,65.86,66.27,64.74,67.94,72.06,75.87,76.18,76.43,76.89,76.91,77.58,77.97,78.31,78.68,79.12,77.58,74.27,35.73,39.48,42.54,43.15,42.72,43.05,43.01,43.49,45.79,49.34,51.67,57.92,58.27,58.59,59.06,59.87,59.92,60.45,60.53,61.0,61.24,62.7,63.08
Sumatera Utara,94.62,93.61,93.98,93.96,93.96,94.26,94.46,95.33,91.61,93.35,95.64,96.29,96.47,96.57,97.22,97.63,97.67,97.73,97.69,98.0,97.95,97.68,95.99,72.95,73.02,72.79,73.08,73.61,74.17,74.21,74.76,68.08,70.57,73.98,78.33,78.48,78.71,79.12,79.25,80.26,80.56,81.13,81.84,82.09,82.15,77.41,53.03,56.65,53.5,54.14,54.95,55.16,55.3,55.72,57.48,60.29,62.19,65.8,66.69,66.85,67.05,67.27,67.53,68.0,67.99,68.27,68.67,69.72,70.4
