Tahun,Provinsi,SD/sederajat,SMP/sederajat,SM/sederajat
2014,MALUKU UTARA,96.21,75.03,63.1
2014,NUSA TENGGARA BARAT,97.62,82.29,64.11
2014,NUSA TENGGARA TIMUR,94.56,65.86,52.15
2014,PAPUA,78.36,53.68,43.11
2014,PAPUA BARAT,92.76,68.18,62.29
2014,PAPUA BARAT DAYA,-,-,-
2014,PAPUA PEGUNUNGAN,-,-,-
2014,PAPUA SELATAN,-,-,-
2014,PAPUA TENGAH,-,-,-
2014,RIAU,96.42,77.67,62.31
2014,SULAWESI BARAT,94.97,68.37,56.65
2014,SULAWESI SELATAN,96.39,73.18,59.1
2014,SULAWESI TENGAH,91.77,70.62,63.13
2014,SULAWESI TENGGARA,95.97,74.77,61.91
2014,SULAWESI UTARA,93.42,72.32,61.69
2014,SUMATERA BARAT,97.92,75.61,66.52
2014,SUMATERA SELATAN,96.13,75.87,57.92
2014,SUMATERA UTARA,96.29,78.33,65.8
2015,ACEH,97.99,85.55,69.82
2015,BALI,95.64,84.78,71.53
2015,BANTEN,96.98,79.84,57.04
2015,BENGKULU,98.1,76.88,64.97
2015,DI YOGYAKARTA,99.23,82.86,68.6
2015,DKI JAKARTA,96.91,80.2,59.04
2015,GORONTALO,97.09,68.71,56.24
2015,JAMBI,97.68,77.94,59.41
2015,JAWA BARAT,97.68,79.55,56.73
2015,JAWA TENGAH,96.57,78.66,58.27
2015,JAWA TIMUR,97.38,81.16,60.31
2015,KALIMANTAN BARAT,96.09,64.55,50.32
2015,KALIMANTAN SELATAN,97.75,72.51,55.58
2015,KALIMANTAN TENGAH,98.54,75.76,52.36
2015,KALIMANTAN TIMUR,97,79.06,67.78
2015,KALIMANTAN UTARA,91.83,77.25,62.34
2015,KEP. BANGKA BELITUNG,96.66,72.42,57.02
2015,KEP. RIAU,98.68,83.77,71.23
2015,LAMPUNG,98.32,78.2,58.39
2015,MALUKU,94.34,73.29,63.07
2015,MALUKU UTARA,96.65,75.38,63.2
2015,NUSA TENGGARA BARAT,97.8,82.83,64.97
2015,NUSA TENGGARA TIMUR,94.95,66.32,52.51
2015,PAPUA,78.56,54.21,43.22
2015,PAPUA BARAT,92.9,68.29,62.4
2015,PAPUA BARAT DAYA,-,-,-
2015,PAPUA PEGUNUNGAN,-,-,-
2015,PAPUA SELATAN,-,-,-
2015,PAPUA TENGAH,-,-,-
2015,RIAU,96.63,78.22,62.6
2015,SULAWESI BARAT,95.29,68.92,56.78
2015,SULAWESI SELATAN,96.84,73.51,59.47
2015,SULAWESI TENGAH,92.35,71.1,63.32
2015,SULAWESI TENGGARA,96.15,75.43,62.23
2015,SULAWESI UTARA,93.97,73.02,62.23
2015,SUMATERA BARAT,98.12,76,66.9
2015,SUMATERA SELATAN,96.41,76.18,58.27
2015,SUMATERA UTARA,96.47,78.48,66.69
2016,ACEH,98.16,85.73,70
2016,BALI,95.75,84.99,71.71
2016,BANTEN,97.22,79.93,57.21
2016,BENGKULU,98.22,77.02,65.29
2016,DI YOGYAKARTA,99.21,83.05,68.96
2016,DKI JAKARTA,97.01,80.35,59.3
2016,GORONTALO,97.23,68.89,56.37
2016,JAMBI,97.81,78.09,59.52
2016,JAWA BARAT,97.82,79.76,56.92
2016,JAWA TENGAH,96.64,78.89,58.49
2016,JAWA TIMUR,97.49,81.35,60.76
2016,KALIMANTAN BARAT,96.22,64.69,50.43
2016,KALIMANTAN SELATAN,98.05,72.7,55.91
2016,KALIMANTAN TENGAH,98.67,75.92,52.5
2016,KALIMANTAN TIMUR,97.13,79.2,67.92
2016,KALIMANTAN UTARA,92.18,77.46,62.8
2016,KEP. BANGKA BELITUNG,96.75,72.75,57.22
2016,KEP. RIAU,98.83,84.06,71.58
2016,LAMPUNG,98.46,78.34,58.85
2016,MALUKU,94.5,73.4,63.49
2016,MALUKU UTARA,96.75,75.68,63.47
2016,NUSA TENGGARA BARAT,97.9,83.17,65.19
2016,NUSA TENGGARA TIMUR,95.24,66.56,52.87
2016,PAPUA,78.66,54.26,43.27
2016,PAPUA BARAT,93.06,68.58,62.62
2016,PAPUA BARAT DAYA,-,-,-
2016,PAPUA PEGUNUNGAN,-,-,-
2016,PAPUA SELATAN,-,-,-
2016,PAPUA TENGAH,-,-,-
2016,RIAU,96.74,78.53,62.76
2016,SULAWESI BARAT,95.41,69.1,57.08
2016,SULAWESI SELATAN,96.99,73.67,59.62
2016,SULAWESI TENGAH,92.48,71.25,63.61
2016,SULAWESI TENGGARA,96.27,75.54,62.63
2016,SULAWESI UTARA,94.12,73.15,62.5
2016,SUMATERA BARAT,98.23,76.19,67.12
2016,SUMATERA SELATAN,96.59,76.43,58.59
2016,SUMATERA UTARA,96.57,78.71,66.85
2017,ACEH,98.54,86.31,70.15
2017,BALI,96.09,85.32,72.4
2017,BANTEN,97.56,80.59,57.88
2017,BENGKULU,98.6,77.85,65.33
2017,DI YOGYAKARTA,99.29,83.25,69.66
2017,DKI JAKARTA,97.64,80.72,59.54
2017,GORONTALO,97.54,69.15,56.82
2017,JAMBI,98.41,78.57,59.98
2017,JAWA BARAT,98.05,80.29,57.22
2017,JAWA TENGAH,97.13,79.13,59.2
2017,JAWA TIMUR,97.77,81.52,61.49
2017,KALIMANTAN BARAT,96.59,65.19,50.96
2017,KALIMANTAN SELATAN,98.45,73.37,57.15
2017,KALIMANTAN TENGAH,98.94,76.14,53.86
2017,KALIMANTAN TIMUR,97.43,79.58,68.23
2017,KALIMANTAN UTARA,92.46,77.66,63.15
2017,KEP. BANGKA BELITUNG,97.42,73.06,57.69
2017,KEP. RIAU,98.93,84.28,71.98
2017,LAMPUNG,99.02,79.24,58.97
2017,MALUKU,95.5,73.99,63.65
2017,MALUKU UTARA,97.01,76.26,63.52
2017,NUSA TENGGARA BARAT,98.13,83.57,65.67
2017,NUSA TENGGARA TIMUR,95.4,67.16,53.32
2017,PAPUA,78.83,56.13,43.48
2017,PAPUA BARAT,93.58,68.92,62.74
2017,PAPUA BARAT DAYA,-,-,-
2017,PAPUA PEGUNUNGAN,-,-,-
2017,PAPUA SELATAN,-,-,-
2017,PAPUA TENGAH,-,-,-
2017,RIAU,97.08,78.87,63.02
2017,SULAWESI BARAT,95.51,69.4,57.46
2017,SULAWESI SELATAN,97.49,74.36,59.86
2017,SULAWESI TENGAH,92.75,72.25,63.8
