Provinsi/Kabupaten/Kota/Indonesia,,,,,,,,,,
,,,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Seluma,7335,7584,7844,8209,8220,8256,8657,8949,9474,9919
Mukomuko,9482,9770,10036,10381,10266,10405,10747,11075,11665,12055
Lebong,10682,10810,11071,11177,11124,11317,11644,12012,12362,12776
Kepahiang,8701,8866,9135,9243,9273,9377,9708,10044,10620,11010
Bengkulu Tengah,8425,8701,9102,9435,9392,9471,9697,10114,10672,10973
Kota Bengkulu,12698,13164,13633,14030,13938,14108,14503,14924,15542,15971
LAMPUNG,9156,9413,9858,10114,9982,10038,10336,10769,11258,11683
Lampung Barat,9106,9517,9741,9970,9929,9969,10175,10593,10965,11612
Tanggamus,8483,8661,9107,9294,9250,9266,9557,10038,10524,10888
Lampung Selatan,9189,9310,9781,9978,9875,9931,10266,10617,11133,11540
Lampung Timur,9416,9453,9908,10028,9983,10026,10403,10812,11262,11670
Lampung Tengah,10674,10820,11052,11154,11219,11259,11710,12195,12595,12975
Lampung Utara,8212,8369,8559,8779,8733,8737,8951,9374,9837,10160
Way Kanan,8411,8522,8979,9292,9102,9173,9450,9887,10439,10831
Tulangbawang,10034,10098,10553,10797,10683,10735,11114,11552,12122,12513
Pesawaran,7055,7449,7724,8059,7892,7934,8192,8633,9190,9638
Pringsewu,9533,9731,10190,10289,10262,10302,10577,11016,11543,11950
Mesuji,7099,7319,7774,8144,7894,7980,8466,8947,9454,9843
Tulang Bawang Barat,7450,7747,8205,8532,8395,8422,8737,9162,9646,10032
Pesisir Barat,7616,7890,8355,8652,8457,8533,8663,9102,9550,9879
Kota Bandar Lampung,11266,11699,11952,12255,12197,12247,12593,13092,13667,14270
Kota Metro,11007,11397,11636,12017,11906,11916,12233,12618,13092,13380
KEP. BANGKA BELITUNG,11960,12066,12666,12959,12794,12819,13358,13589,13667,13837
Bangka,11279,11420,12043,12480,12416,12424,12863,13146,13205,13411
Belitung,12865,12910,13281,13662,13554,13563,14045,14365,14449,14559
Bangka Barat,11303,11394,12011,12275,12233,12269,12790,13105,13199,13380
