Tahun,Provinsi,PPK,RLS
2021,Sulawesi Barat,9153.0,7.96
2021,Sulawesi Selatan,11184.0,8.46
2021,Sulawesi Tengah,9378.0,8.89
2021,Sulawesi Tenggara,9381.0,9.13
2021,Sulawesi Utara,10882.0,9.62
2021,Sumatera Barat,10790.0,9.07
2021,Sumatera Selatan,10662.0,8.3
2021,Sumatera Utara,10499.0,9.58
2022,Aceh,9963.0,9.44
2022,Bali,13942.0,9.39
2022,Banten,12216.0,9.13
2022,Bengkulu,10840.0,8.91
2022,Daerah Istimewa Yogyakarta,14482.0,9.75
2022,Daerah Khusus Jakarta,18927.0,11.31
2022,Gorontalo,10687.0,8.02
2022,Jambi,10871.0,8.68
2022,Jawa Barat,11277.0,8.78
2022,Jawa Tengah,11377.0,7.93
2022,Jawa Timur,11992.0,8.03
2022,Kalimantan Barat,9355.0,7.59
2022,Kalimantan Selatan,12469.0,8.46
2022,Kalimantan Tengah,11458.0,8.65
2022,Kalimantan Timur,12641.0,9.92
2022,Kalimantan Utara,9350.0,9.27
2022,Kepulauan Bangka Belitung,13358.0,8.11
2022,Kepulauan Riau,14469.0,10.37
2022,Lampung,10336.0,8.18
2022,Maluku,8876.0,10.19
2022,Maluku Utara,8398.0,9.24
2022,Nusa Tenggara Barat,10681.0,7.61
2022,Nusa Tenggara Timur,7877.0,7.7
2022,Papua,7146.0,7.02
2022,Papua Barat,8101.0,7.84
2022,Papua Barat Daya,8379.0,8.14
2022,Papua Pegunungan,5164.0,3.96
2022,Papua Selatan,9286.0,8.13
2022,Papua Tengah,7339.0,5.87
2022,Riau,11158.0,9.22
2022,Sulawesi Barat,9358.0,8.08
2022,Sulawesi Selatan,11430.0,8.63
2022,Sulawesi Tengah,9696.0,8.89
2022,Sulawesi Tenggara,9708.0,9.25
2022,Sulawesi Utara,11179.0,9.68
2022,Sumatera Barat,11130.0,9.18
2022,Sumatera Selatan,11109.0,8.37
2022,Sumatera Utara,10848.0,9.71
2023,Aceh,10334.0,9.55
2023,Bali,14382.0,9.45
2023,Banten,12601.0,9.15
2023,Bengkulu,11172.0,9.03
2023,Daerah Istimewa Yogyakarta,14924.0,9.83
2023,Daerah Khusus Jakarta,19373.0,11.45
2023,Gorontalo,11069.0,8.1
2023,Jambi,11160.0,8.81
2023,Jawa Barat,11695.0,8.83
2023,Jawa Tengah,11835.0,8.01
2023,Jawa Timur,12421.0,8.11
2023,Kalimantan Barat,9810.0,7.71
2023,Kalimantan Selatan,12953.0,8.55
2023,Kalimantan Tengah,11878.0,8.73
2023,Kalimantan Timur,13202.0,9.99
2023,Kalimantan Utara,9734.0,9.34
2023,Kepulauan Bangka Belitung,13589.0,8.25
2023,Kepulauan Riau,14998.0,10.41
2023,Lampung,10769.0,8.29
2023,Maluku,9278.0,10.2
2023,Maluku Utara,8834.0,9.26
2023,Nusa Tenggara Barat,11095.0,7.74
2023,Nusa Tenggara Timur,8248.0,7.82
2023,Papua,7562.0,7.15
2023,Papua Barat,8404.0,7.93
2023,Papua Barat Daya,8611.0,8.27
2023,Papua Pegunungan,5396.0,4.09
2023,Papua Selatan,9518.0,8.26
2023,Papua Tengah,7571.0,6.0
2023,Riau,11448.0,9.32
2023,Sulawesi Barat,9718.0,8.13
2023,Sulawesi Selatan,11841.0,8.76
2023,Sulawesi Tengah,10149.0,8.96
2023,Sulawesi Tenggara,10117.0,9.31
2023,Sulawesi Utara,11497.0,9.77
2023,Sumatera Barat,11380.0,9.28
2023,Sumatera Selatan,11472.0,8.5
2023,Sumatera Utara,11049.0,9.82
2024,Aceh,10811.0,9.64
2024,Bali,14920.0,9.54
2024,Banten,13097.0,9.23
2024,Bengkulu,11733.0,9.04
2024,Daerah Istimewa Yogyakarta,15361.0,9.92
2024,Daerah Khusus Jakarta,19953.0,11.49
2024,Gorontalo,11539.0,8.29
2024,Jambi,11621.0,8.9
2024,Jawa Barat,12157.0,8.87
2024,Jawa Tengah,12276.0,8.02
2024,Jawa Timur,12852.0,8.28
2024,Kalimantan Barat,10321.0,7.78
