Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,RLS
2017,Kalimantan Utara,92.46,77.66,63.15,8.62
2017,Kepulauan Bangka Belitung,97.42,73.06,57.69,7.78
2017,Kepulauan Riau,98.93,84.28,71.98,9.79
2017,Lampung,99.02,79.24,58.97,7.79
2017,Maluku,95.5,73.99,63.65,9.38
2017,Maluku Utara,97.01,76.26,63.52,8.61
2017,Nusa Tenggara Barat,98.13,83.57,65.67,6.9
2017,Nusa Tenggara Timur,95.4,67.16,53.32,7.15
2017,Papua,78.83,56.13,43.48,6.27
2017,Papua Barat,93.58,68.92,62.74,7.15
2017,Papua Barat Daya,91.78,67.69,48.9,7.52
2017,Papua Pegunungan,72.42,48.72,30.06,3.34
2017,Papua Selatan,85.21,50.28,35.67,7.51
2017,Papua Tengah,70.12,46.89,25.78,5.25
2017,Riau,97.08,78.87,63.02,8.76
2017,Sulawesi Barat,95.51,69.4,57.46,7.31
2017,Sulawesi Selatan,97.49,74.36,59.86,7.95
2017,Sulawesi Tengah,92.75,72.25,63.8,8.29
2017,Sulawesi Tenggara,96.62,76.49,62.71,8.46
2017,Sulawesi Utara,94.46,73.87,62.81,9.14
2017,Sumatera Barat,98.64,76.47,67.3,8.72
2017,Sumatera Selatan,97.16,76.89,59.06,7.99
2017,Sumatera Utara,97.22,79.12,67.05,9.25
2018,Aceh,99.1,86.38,70.26,9.09
2018,Bali,96.19,86.0,73.0,8.65
2018,Banten,97.97,80.91,58.72,8.62
2018,Bengkulu,98.63,78.03,65.45,8.61
2018,Daerah Istimewa Yogyakarta,99.5,83.61,70.22,9.32
2018,Daerah Khusus Jakarta,98.03,80.81,60.01,11.05
2018,Gorontalo,98.39,69.33,57.38,7.46
2018,Jambi,99.04,79.38,60.92,8.23
2018,Jawa Barat,98.25,81.01,57.33,8.15
2018,Jawa Tengah,97.75,79.31,59.31,7.35
2018,Jawa Timur,97.88,81.98,61.51,7.39
2018,Kalimantan Barat,97.09,65.91,51.16,7.12
2018,Kalimantan Selatan,98.8,73.84,57.78,8.0
2018,Kalimantan Tengah,99.08,76.7,53.67,8.37
2018,Kalimantan Timur,98.4,79.68,68.43,9.48
2018,Kalimantan Utara,92.72,78.2,64.05,8.87
2018,Kepulauan Bangka Belitung,97.71,73.96,57.86,7.84
2018,Kepulauan Riau,99.12,84.59,72.9,9.81
2018,Lampung,99.21,80.23,59.18,7.82
2018,Maluku,95.8,74.08,63.68,9.58
2018,Maluku Utara,97.09,76.31,63.88,8.72
2018,Nusa Tenggara Barat,98.86,83.88,65.77,7.03
2018,Nusa Tenggara Timur,96.12,68.14,53.67,7.3
2018,Papua,79.14,57.09,44.31,6.52
2018,Papua Barat,93.66,69.11,63.11,7.27
2018,Papua Barat Daya,92.08,68.62,50.13,7.65
2018,Papua Pegunungan,72.72,49.65,31.29,3.47
2018,Papua Selatan,85.51,51.21,36.9,7.64
2018,Papua Tengah,70.42,47.82,27.01,5.38
