Tahun,Provinsi,APM_SD,APM_SMP,APM_SMA,PPK,RLS
2019,Papua Pegunungan,73.03,50.58,32.51,4467.0,3.59
2019,Papua Selatan,85.82,52.14,38.12,8589.0,7.76
2019,Papua Tengah,70.73,48.75,28.23,6642.0,5.5
2019,Riau,97.32,79.94,63.55,11255.0,9.03
2019,Sulawesi Barat,95.86,69.36,57.64,9235.0,7.73
2019,Sulawesi Selatan,98.06,75.82,60.14,11118.0,8.26
2019,Sulawesi Tengah,93.17,73.82,64.66,9604.0,8.75
2019,Sulawesi Tenggara,97.53,76.95,62.92,9436.0,8.91
2019,Sulawesi Utara,94.97,74.3,62.98,11115.0,9.43
2019,Sumatera Barat,98.67,78.1,68.53,10925.0,8.92
2019,Sumatera Selatan,97.91,77.58,59.92,10937.0,8.18
2019,Sumatera Utara,97.67,80.26,67.53,10649.0,9.45
2020,Aceh,99.03,86.87,70.7,9492.0,9.33
2020,Bali,96.84,87.26,73.29,13929.0,8.95
2020,Banten,97.95,82.73,59.06,11964.0,8.89
2020,Bengkulu,98.65,79.77,65.82,10380.0,8.84
2020,Daerah Istimewa Yogyakarta,99.59,83.98,70.98,14015.0,9.55
2020,Daerah Khusus Jakarta,98.05,82.47,60.42,18227.0,11.13
2020,Gorontalo,98.5,70.68,57.86,10020.0,7.82
2020,Jambi,99.11,79.93,61.38,10392.0,8.55
2020,Jawa Barat,98.37,82.06,57.9,10845.0,8.55
2020,Jawa Tengah,97.9,80.53,59.74,10930.0,7.69
2020,Jawa Timur,97.99,83.53,62.24,11601.0,7.78
2020,Kalimantan Barat,97.36,67.42,51.7,8930.0,7.37
2020,Kalimantan Selatan,98.76,75.51,58.25,12032.0,8.29
2020,Kalimantan Tengah,99.11,78.45,54.08,11154.0,8.59
2020,Kalimantan Timur,98.44,81.28,69.0,11728.0,9.77
2020,Kalimantan Utara,93.46,79.09,64.75,8756.0,9.0
2020,Kepulauan Bangka Belitung,97.73,74.59,58.82,12794.0,8.06
2020,Kepulauan Riau,99.16,86.47,73.45,14209.0,10.12
2020,Lampung,99.16,81.17,59.58,9982.0,8.05
2020,Maluku,96.85,75.15,64.81,8732.0,9.93
2020,Maluku Utara,97.21,76.9,64.25,8032.0,9.04
2020,Nusa Tenggara Barat,98.78,84.98,66.81,10351.0,7.31
2020,Nusa Tenggara Timur,96.09,69.82,54.09,7598.0,7.63
2020,Papua,79.34,57.95,44.73,6954.0,6.69
2020,Papua Barat,93.88,70.51,63.62,8086.0,7.6
2020,Papua Barat Daya,92.69,70.48,52.58,7915.0,7.9
2020,Papua Pegunungan,73.33,51.51,33.74,4700.0,3.72
2020,Papua Selatan,86.12,53.07,39.35,8822.0,7.89
